,desc,location,size,value
0,ROCKVILLA GARDENS,"Kangundo Road., Kangundo Road, Nairobi, Nairobi",3 Bedrooms,KSh 2950000
1,A Lovely And Modern 4 Bedroom House All En Suite in Mombasa Road,"Mombasa Road., Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
2,"Mombasa Rd Near Kapa, 4 Bedroom Maisonette for sale","Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 12800000
3,Farm(3 ACRES) and Redhill House for sale,"Red Hill, Nairobi, Nairobi",4 Bedrooms,KSh 180000000
4,Beautiful 3 Bedroom Bungalow With Own Compound (Quick Sale),"Saika Kangundo Road, Kangundo Road, Nairobi, Nairobi",3 Bedrooms,KSh 6700000
5,Beautiful Bungalows on Kenyatta Road,"Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 5500000
6,4 Bedroom House at Redhill Villas for sale.,"Limuru Road, Limuru road, Nairobi, Nairobi",5 Bedrooms,KSh 30000000
7,4 Bedroom House for sale in Embakasi - 3ke1218789,"Embakasi, Embakasi, Nairobi, Nairobi",4 Bedrooms,KSh 12500000
8,Luxurious 6 bedroom House For Sale in Garden Estate,"Garden Estate, Garden Estate, Nairobi, Nairobi",6 Bedrooms,KSh 58000000
9,Beautiful Maisonettes and Bungalows,"Thika Town, Kenyatta, Nairobi, Nairobi",4 Bedrooms,KSh 6750000
10,Elegant House in a Gated Community,"Fair Acres Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 94000000
11,Rosewood Estate,"Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 4250000
12,Maple Ridge Estate,"Waiyaki Way, Nairobi, Nairobi",3 Bedrooms,KSh 4500000
13,Prime Commercial Land On Langata Rd,"Langata, Langata, Nairobi, Nairobi",1 Bedrooms,KSh 550000000
14,"5 Bedroom House, Runda","Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 130000000
15,18 0830 SR Offering This Outstanding Ambassadorial Residence Sited Prominently at Lavington Green Estate. 2018 08 30,"near jaffery club, Lavington, Nairobi, Nairobi",9 Bedrooms,KSh 450000000
16,Expartric Ambassadorial 5 Bedroom House For Rent in Runda,"New rundaEliud mathu, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 400000
17,5 Bedroom House at Runda,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 140000000
18,Lovely Luxurious 5 Bedroom in Kitisuru,"Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 125000000
19,A Living Legend! Lavington Five Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 52000000
20,Luxurious 4 Bedrooms in Kitisuru,"Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
21,3 bedroom Maisonette House for sale in Avenue Park 1 in Embakasi Opp. Fedha Estate.,"Avenue Park 1 Estate, Embakasi, Nairobi, Nairobi",3 Bedrooms,KSh 15000000
22,Prestigious and Unique! Lavington Five Bedroom Townhouse With SQ,"amboselli lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
23,Palatial 5 Bedroom House in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 115000000
24,Family maisonette for sale,"Muthaiga, Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
25,Grand and cozy! Karen house,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
26,New 4 bedroom villa  plus DSQ  for sale in Rossylin,"Rosslyn Lone tree, Rosslyn, Nairobi, Nairobi",4 Bedrooms,KSh 66300000
27,Suburban Oasis! Runda Mae Ridge 5 bed house,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
28,Lavish Living ! Lavington 5 Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
29,New 5 bedroom double storey plus DSQ for sale along Bogani Rd in Karen,"Bogani Rd, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
30,Kitengela Three Bedroom Bungalow.,"Kitengela, Kajiado, Nairobi, Nairobi",3 Bedrooms,KSh 8750000
31,4 Bedroom Bungalow in Loresho,"Crescent, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
32,Runda Paradise Fully Furnished Four Bedroom Villa,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
33,Stylish Urban Villa in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
34,"5 Bedroom House for sale, Lavington","Njumbi Road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
35,Four Bedroom Exquisite Town Houses in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
36,4 Bedroom (all Ensuite) Maisonette off Mombasa Road,"Mombasa road, Mlolongo, Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 12000000
37,"4 bedroom House (all self-contained) + SQ for sale on Kiambu Road, opposite KIST - (LAST UNIT)","Kiambu Road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 36000000
38,Bamboo  Gardens  - New 5 Bedroom Double- Storey Plus Sq  On Eighth Acre   for sale in Ruiru,"Bamboo Gardens Ruiru, Ruiru, Nairobi, Nairobi",5 Bedrooms,KSh 30000000
39,4 Bedroom Maisonette  at Mirema,"mirema drive, Kasarani, Nairobi, Nairobi",4 Bedrooms,KSh 16500000
40,Luxurious 5 Bedroom Villas in Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 88000000
41,A Luxurious 5 Bedrooms House in Runda,"Close to UN, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 140000000
42,MOMBASA RD OPP. SYOKIMAU - 3 BEDROOMS MAISSONETTE PLUS SQ.,"Mombasa road-Near Nation printers., Mlolongo, Nairobi, Nairobi",3 Bedrooms,KSh 12500000
43,"Unique 4 Bedroom Villas for sale, Runda","Pan Afric Insurance Avenue, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
44,Newly Built Four Bedroom Townhouse in Kitisuru,"Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
45,Spacious 3 Bedroom Maisonette in Karen on 3/4 Acre Plot,"Karen, Karen, Nairobi, Nairobi",3 Bedrooms,KSh 43000000
46,5 Bedroom House On Grevillea Grove – Elite Garden Villas,"Grevillea Grove, Grevillea Grove, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
47,Luxurious & Premium 4 & 5 Bedroom Residential Development in Karen,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
48,Beautiful & Spacious 5 Bedroom Townhouse on Brookside,"WESTLANDS, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
49,4 Bedroom House in on 0.5 Acre in a Gated Community.,"windy ridge, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 78000000
50,Spacious and Luxurious Town House Syokimau,"Mombasa road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
51,4 Bedroom Maisonette for sale in Mlolongo,"Mlolongo, Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 8000000
52,Lower Kabete:5 Bedroom Townhouse,"lower kabete road, Lower Kabete, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
53,A Homely Six Bedrooms Housed in the Heart of Old Runda,"runda groove, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 90000000
54,Outstanding 5 Bedrooms House,"Mimosa, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
55,Elegant 5 Bedroom Villas in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
56,4 Bedroom Townhouse  for SALE in Runda(gated Community),"mumwe drive, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
57,5 BEDROOM 3 LEVEL AMBASSADORIAL VILLA  ON SALE IN KAREN,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
58,Stunning 5 Bedroom Villa  in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 105000000
59,5 Bedroom Townhouse in Runda in a Gated Community,"runda water, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
60,4 Bedroom House Available for sale in South C,"South C, South C, Nairobi, Nairobi",4 Bedrooms,KSh 20000000
61,KAREN - 3 & 4 BEDROOMS HOUSES(X 2) ON 2 ACRES.,"OFF WINDY RIDGE, Karen, Nairobi, Nairobi",7 Bedrooms,KSh 165000000
62,6 Bedroom Townhouse Runda,"Pan African Insurance Ave , Runda, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 140000000
63,Pristine Townhouse in Exclusive Location,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 62000000
64,Charming 5 Bedroom House all Ensuite in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
65,NEW KITISURU - 4 BEDROOMS ALL - ENSUITE DOUBLE STOREY HOUSE PLUS STUDY ROOM.,"NEW KITISURU, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 72000000
66,Modern Luxurious 5 Bedroom Townhouse in Kitengela for sale,"Riruta, Nairobi, Nairobi",5 Bedrooms,KSh 20000000
67,Spacious & Luxurious 5 Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
68,5 Bedroom all Ensuite Towhouse plus Sq for sale in Mzima Springs - Lavington 85M,"Mzima Springs, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
69,Lovely Modern 4 Bedroom Villa for sale - Nyari,"Rosslyn, Nairobi, Nairobi",4 Bedrooms,KSh 68000000
70,4 Bedroom plus Dsq Duplex  in Lavington near Valley Arcade,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 35000000
71,Magnificent 4 Bedrooms House,"Muthaiga, Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 200000000
72,4 Bedroom House For Sale In Balozi,"River Dr Balozi Estate, Riruta, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
73,Luxury Townhouses in Lavington,"Njumbi Road, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 110000000
74,A 3 Bedroom With DSQ Maisonette For Sale Along Mombasa road Near Total Sabakia Petrol Station,"Mombasa road, Mombasa Road, Nairobi, Nairobi",3 Bedrooms,KSh 12500000
75,5 BEDROOM VILLA HOUSE ON SALE IN KAREN,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
76,Stunning Classic 6 Bedroom Standalone House in Lavington on 3/4 piece of land,"LAVINGTON, Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 270000000
77,A Remodeled 4 Bedroom Townhouse in Eden Ville,"Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 28000000
78,Elegant 5 Bedroom House in Thigiri Ridge,"Thigiri, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
79,Spacious 5 Bedroom Townhouse for sale in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 72000000
80,Luxury Home In Runda,"Ruaka Road, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 255000000
81,Stunning Townhouses,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
82,4 Bedroom Maisonette Karen for sale,"karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
83,20117 - Stunning 4 Bedroom Compound Villa,"Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 24000000
84,4 bedrooms maisonette for sale in South c,"South c, South C, Nairobi, Nairobi",4 Bedrooms,KSh 13000000
85,Four Bedroom Bungalow House  at Loresho,"Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
86,5 Bedroom Townhouse Karen,"Fair Acres Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
87,5 Bedroom Villa in Lavington Nairobi,"Lavington Nairobi, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
88,3 BEDROOM PLUS SQ MANSIONATE ON SALE IN SYOKIMAU,"Syokimau, Nairobi, Nairobi",3 Bedrooms,KSh 12500000
89,8 Bedroom Townhouse Redhill Limuru,"Limuru Road, Redhill, Limuru road, Nairobi, Nairobi",8 Bedrooms,KSh 67000000
90,Modern High End 5 Bedroom House - Ridgeways,"Ridgeways, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
91,4 Bedrooms House,"KAREN, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
92,LARGE FAMILY HOME FOR SALE,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
93,5 Bedroom Townhouse in Lavington Nairobi,"Lavington Nairobi, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
94,Mombasa Road three Bedroom House For Sale,"Mombasa Road, Mombasa Road, Nairobi, Nairobi",3 Bedrooms,KSh 12000000
95,Meticulous 5 Bedroom in a Gated Community,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
96,Peponi Road: Beautifully Furnished Villa,"Peponi, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
97,4 Bedroom Townhouse Langata,"Langata Rd, Langata, Nairobi, Nairobi",4 Bedrooms,KSh 22000000
98,4 Bedroom Maisonette in Sigona,"Waiyaki Way, Nairobi, Nairobi",4 Bedrooms,KSh 10600000
99,Elegant Houses in Runda,"Pan Africa Insurance Avenue, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
100,4 Bedroom Urban Bungalow,"DAGORETTI ROAD,  Dagoretti Road, Nairobi, Nairobi",4 Bedrooms,KSh 48000000
101,5 Bedroom Town House Villas all Ensuite in a Gated Community,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
102,Lovely 5 Br Town House plus Sqs in Kilimani,"Kilimani, Nairobi, Nairobi",6 Bedrooms,KSh 40000000
103,"Lavish 5 Bedroom Townhouse with a Dsq in Lavington, Nairobi.","Lavington, Nairobi, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
104,"3 Bed Massionettes  for sale in Kitengela,Almond Groove","Kajiado, Nairobi, Nairobi",3 Bedrooms,KSh 8600000
105,7 Bedroom in Runda Mimosa Vale,"mimosa valley, Runda, Nairobi, Nairobi",7 Bedrooms,KSh 100000000
106,RUNDA:STUNNING 6BEDROOM MANSION FOR SALE,"Runda, Nairobi, Nairobi",6 Bedrooms,KSh 250000000
107,Fantastic  5 Bedrooms House with Guest Wing,"Hill view estate , Nairobi, Nairobi",5 Bedrooms,KSh 150000000
108,4 Bedroom Maisonette Plus DSQ And Study Room sale in Mlolongo,"Mlolongo, Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 8000000
109,4 Bedroom House in Rosslyn,"Rosslyn, Rosslyn, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
110,KITisuru:(Two) Exquisite 4 Bedroom all Ensuite Villas,"Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 255000000
111,Nasra 5 Bed Room Maisonette,"Nasra, Umoja, Nairobi, Nairobi",5 Bedrooms,KSh 12500000
112,Kitisuru Elegant 5 Bedroom Home,"Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 125000000
113,Stunningly Beautyfull House in Runda,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 190000000
114,Newly Built 4 Bedroom (all Ensuite) Double Storey,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
115,A Beautiful 5 Bedroom Townhouse in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
116,4 Bedroom House for sale in Karen,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
117,Stunning 5 Bedroom Town House for sale in Gated Community,"Spring Valley, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
118,World Class 5 Bedrooms all Ensuite Town House in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
119,A Charming 5 Bedroom all Ensuite Townhouse in Riverside Drive,"Riverside, Nairobi, Nairobi",5 Bedrooms,KSh 72000000
120,Runda: Magnificent Ambassadorial,"Runda, Nairobi, Nairobi",6 Bedrooms,KSh 145000000
121,5 Bedrooms House in Kitisuru Nairobi on Half Acre,"Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 67500000
122,4 Bedroom Standard Houses in Kiambu Road,"Kiambu Road-Nairobi, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 28950000
123,World Class 5 Bedrooms with DSQ House for sale in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
124,"Modern 4 Bedroom Townhouse Master Ensuite, near Yaya","KILIMANI, Kilimani, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
125,TownHouse in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 170000
126,Exquisite 4 Bedroom on 1 Acre Parcel of Land.,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
127,Luxurious 5 Bedrooms Very Spacious Home in Runda,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
128,Newly Built 5 Bedroom (all Ensuite) Double Storey,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
129,Luxurious 5 Bedrooms plus 2sq House in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
130,World Class Luxurious 5 Bedrooms Plus 2 Bedrooms Guest Wing Home in Runda.,"Runda, Nairobi, Nairobi",7 Bedrooms,KSh 150000000
131,"Luxurious 5 Bedroom Townhouse, Lavington","LAVINGTON, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
132,Luxurious 5 Bedrooms all Ensuite plus 2 Sq Home in Kyuna,"Kyuna, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
133,Luxurious 3 Bedrooms all Ensuite plus SQ Very Spacious House in Kileleshwa,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 30000000
134,MIREMA DRIVE - KASARANI - 0.5 ACRE LAND (4 BEDROOMS HOUSE).,"MIREMA DRIVE, Kasarani, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
135,3 Bedroom Maisonette on 3rd Parklands - Raj Court,"3rd Parklands, Parklands, Nairobi, Nairobi",3 Bedrooms,KSh 35000000
136,New Bungalow  For Sale In Syokimau On 1/4 Acre Plot,"syokimau DRIVE  near PCEA church, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 15000000
137,Beautiful and spacious 4 bedroom and SQ,"Kerarapon, Kerarapon, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
138,Amazing Kitisuru Townhouse,"Kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 42500000
139,3 bedroom bungalow in a gated community,"Ruaka, Ruaka, Nairobi, Nairobi",3 Bedrooms,KSh 12000000
140,House at Niarobi,"Garden Estate, Garden Estate, Nairobi, Nairobi",4 Bedrooms,KSh 49000000
141,Hot Studio House Fully Furnished In A Gated Community Old Kitisuru,"EentOld Kitisuru Rd near bypass, Kitisuru, Nairobi, Nairobi",1 Bedrooms,KSh 100000
142,Kilimani/ Lavington - 4 Bedroom M-ensuite Town House,"KINGARA ROAD., Kilimani, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
143,"New 3 Bedroom Master Ensuite Bungalow with Dsq in a Gated Community, Kitengela","Kitengela, Kajiado, Nairobi, Nairobi",3 Bedrooms,KSh 8750000
144,Langata Three Bedrom Maissonatte.,"Langata, Nairobi, Nairobi",3 Bedrooms,KSh 23000000
145,Exquisite 5 Bedroom Townhouse,"kirawa road, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 47950000
146,Executive Living in Four Bedroom Plus SQ,"Ruiru, Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 14500000
147,Two 5-Bedroom Townhouses For Sale In Kitisuru,"Kitisuru Road, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 250000000
148,5 Bedroom House In Kiserian,"kiserian, Kiserian, Nairobi, Nairobi",5 Bedrooms,KSh 7500000
149,"5 Bedroom House in Magnolia Lake Side, Kitisuru","Kirawa Road, Kitisuru, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 175000000
150,5 bedroom suburban townhouse,"Thika road, Thika Road, Nairobi, Nairobi",5 Bedrooms,KSh 34000000
151,Spring Valley Five Bedroom Townhouse.,"Spring valley, Spring Valley, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
152,5 Bedroom House with 2 Bedroom Guest House and Servant Quarter for 2 in Runda,"eliud mathu street, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 160000000
153,5 Bedroom House in Runda,"Mimosa, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
154,3 Bedroom Master Ensuite Townhouse,"THOGOTO KIKUYU, Nairobi South, Nairobi, Nairobi",3 Bedrooms,KSh 8000000
155,Magnificent 4 Bedroom House,"Karen, Kerarapon, Nairobi, Nairobi",4 Bedrooms,KSh 35000000
156,the Haven – Luxury 4-5 Bedroom Homes in Loresho,"Loresho Ridge, Loresho, Nairobi, Nairobi",5 Bedrooms,KSh 102500000
157,Luxurious 3 Bedroom Townhouse,"Kiambu road, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,KSh 26000000
158,Prime land in a highly developed residential area,"Limuru Road, Kabete, Nairobi, Nairobi",1 Bedrooms,KSh 16000000
159,Karen Holiday Homes,"Langata South Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
160,4 Bedroom House,"19th Drive, Kerarapon, Kerarapon, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
161,5 bedroom massionnatte+5 bathroom +ensuite DSQ,"LAVINGTON, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 68000000
162,5 Bedroom Townhouse,"Thika road, Thika Road, Nairobi, Nairobi",5 Bedrooms,KSh 34000000
163,5 Bedroom+5 Bathroom  AVAILABLE FOR SALE 68M LAVINGTON,"LAVINGTON, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 68000000
164,Syokimau Four Bedroom Maisonette.,"Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 18000000
165,4 Bedroom Suburban House,"Kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
166,3 Bedrooms Standalone Bungalows in a Gated Community,"kangundo road,joska machakos, Joska, Nairobi, Nairobi",3 Bedrooms,KSh 3550000
167,A solid family home,"gitanga road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 45500000
168,Beautiful 4 Bedroom Villa in Suburban Fourways Junction,"Kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
169,4 bedroom house for sale in Kitisuru -3KE1378575,"Kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
170,5 Bedroom all En Suite Town Villa with Servants' Quarter,"Kiambu road, Kiambu Road, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
171,3 Bedroom Bungalow/House,"Kangundo rd, Ruai, Nairobi, Nairobi",3 Bedrooms,KSh 3500000
172,4 Bedroom Villa   in Westlands - Livingstone Villa,"Peponi Road, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
173,5 Bedroom+5 Bathroom  AVAILABLE FOR SALE 68M LAVINGTON,"Lavington Nairobi Kenya, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 68000000
174,4 Bedroom Townhouse  in Kitisuru,"Kirawa Road, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 35000000
175,5 Bedroom townhouse + 5 Bathroom Available for sale 68M,"LAVINGTON, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 68000000
176,4 Bedroom at Niarobi,"Kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
177,Town Villa,"Kitisuru, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
178,4 Bedroom  Maisonette  at Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 11000000
179,Rockvilla,"Mutalia joska, Joska, Nairobi, Nairobi",3 Bedrooms,KSh 3350000
180,Syokimau Four Bedroom Maisonette,"Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 12500000
181,4 Bedroom Massionette,"001, Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 16000000
182,Four Bedroom Maisonette in South C,"Friends Court, off Red cross Road, behind Boma Hotel, South C, Nairobi, Nairobi",4 Bedrooms,KSh 20500000
183,Lovely Cosy Family Maisonette For Sale,"Koma Rock, Koma Rock, Nairobi, Nairobi",3 Bedrooms,KSh 7500000
184,Fourways 4 Bedrooms Villa For Sale.,"runda fourways, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 33000000
185,Elegant and Exclusive Town House  in Kitisuru,"Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
186,5 Bedroom Villa,"Off Muthangari Drive, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
187,Townhouse For Sale In Loresho,"Loresho, Nairobi, Nairobi",4 Bedrooms,Contact seller for price
188,Family maisonette for sale,"Muthaiga, Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
189,House at Niarobi,"runda, Nairobi, Nairobi",8 Bedrooms,KSh 240000000
190,Masterfully Built 4 Bedroom Townhouse,"kirawa road, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 47950000
191,Strong Fortress,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 74000000
192,5 Bedroom+5 Bathroom  AVAILABLE FOR SALE 68M LAVINGTON,"LAVINGTON, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 68000000
193,Syokimau Five Bedroom Maisonette,"Syokimau, Nairobi, Nairobi",5 Bedrooms,KSh 14000000
194,Langata Four Bedroom Townhouse,"Langata, Nairobi, Nairobi",4 Bedrooms,KSh 34800000
195,Brand New 3 bedroom Houses  in a Gated Community at Kitengela,"kitengela, Kerarapon, Nairobi, Nairobi",3 Bedrooms,KSh 8500000
196,Middle Earth,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 88000000
197,House at Niarobi,"Kiambu road, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,KSh 26000000
198,Exclusive 3 Bedroom Villa,"Fourways junction, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,KSh 26000000
199,4 Bedroom Townhouse,"Fourways junction, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
200,3 Bedroom Master En Suite at Bungalow,"juja farm, Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 7200000
201,4 Bedroom Maisonette +Dsq  available for sale,"Kilimani Nairobi, Kilimani, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
202,Elegant 4 Bedroom Maisonette,"Off outer ring road, Eastlands, Nairobi, Nairobi",4 Bedrooms,KSh 16000000
203,Excellent residential property close to the city,"Mugoya Estate, South C, Nairobi, Nairobi",4 Bedrooms,KSh 34000000
204,Karen Land and House,"Miotoni Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 300000000
205,"Prime 42 Acre Land for sale in Tinga, magadi road","Tinga,magadi road, Kiserian, Nairobi, Nairobi",1 Bedrooms,KSh 300000
206,5 Bedroom all En-suite Townhouse,"Kiambu road, Kiambu Road, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
207,House in Karen,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 140000000
208,Road 4 Bedroom House at Kiambu,"KIAMBU ROAD, Kiambu Road, Nairobi, Nairobi",6 Bedrooms,KSh 24000000
209,5 Bed House Westlands,"Off Professor George Saitoti Road, Westlands, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 35000000
210,3 Bedroom Ensuites,"Githunguri Road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 37000000
