,desc,location,size,value
1196,"An Elegant 4 Bedroom all Ensuite Maisonette with Dsq in Kileleshwa, Kikambala Road","Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 47000000
1197,Lavington-5 Bedroom Corner Townhouse,"Lavington-5 bedroom townhouse for sale.55M, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
1198,Exclusive Brand New House in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
1199,4 Bedroom House for sale in Muthaiga,"Muthaiga, Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 190000000
1200,Lovely 3 Bedroom Bungalow in Kiserian,"Kiserian, Kiserian, Nairobi, Nairobi",3 Bedrooms,KSh 6500000
1201,Luxurious Villas for sale on Kiambu Road,"Kiambu Road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
1202,10 Bedroom House for sale in Spring Valley,"Spring Valley, Spring Valley, Nairobi, Nairobi",10 Bedrooms,KSh 315000000
1203,"Runda, 5 Bedroom for sale","Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
1204,Spacious 4 Bedroom Townhouse in Lavington,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 39700000
1205,5 Bedroom House for sale in Karen,"Kuwinda Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
1206,Magnificent 6 Bedrooms Villa,"Peponi  Road, Kitisuru, Nairobi, Nairobi",6 Bedrooms,KSh 140000000
1207,Brand New 5 Bedroom House,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 230000000
1208,3 Bedroom House For Sale In Kileleshwa,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 20000000
1209,A Lovely 4 Bedroom Townhouse in Westlands,"Off Peponi Road, Brookside, Nairobi, Nairobi",4 Bedrooms,KSh 38000000
1210,Ngumo Estate Maisonette-Off Ngong road,"Ngummo, Nairobi, Nairobi",3 Bedrooms,KSh 16500000
1211,Masterfully Designed and Townhouse Apartments,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1212,4 Bedroom Townhouse Karen,"Bogani Rd, Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
1213,Villa  at  Westlands,"Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
